Equip,Level Requirement,Grade,Stat,Value,Weight,Cube
무기,120,Normal,STR,6,3,Red
무기,120,Normal,DEX,6,3,Red
무기,120,Normal,INT,6,3,Red
무기,120,Normal,LUK,6,3,Red
무기,120,Normal,최대 HP,60,3,Red
무기,120,Normal,최대 MP,60,3,Red
무기,120,Normal,공격력,6,2,Red
무기,120,Normal,마력,6,2,Red
무기,120,레어,STR,12,3,Red
무기,120,레어,DEX,12,3,Red
무기,120,레어,INT,12,3,Red
무기,120,레어,LUK,12,3,Red
무기,120,레어,최대 HP,120,3,Red
무기,120,레어,최대 MP,120,3,Red
무기,120,레어,공격력,12,2,Red
무기,120,레어,마력,12,2,Red
무기,120,레어,STR %,3,3,Red
무기,120,레어,DEX %,3,3,Red
무기,120,레어,INT %,3,3,Red
무기,120,레어,LUK %,3,3,Red
무기,120,레어,공격력 %,3,1,Red
무기,120,레어,마력 %,3,1,Red
무기,120,레어,크리티컬 확률 %,4,1,Red
무기,120,레어,데미지 %,3,1,Red
무기,120,레어,올스탯,5,2,Red
무기,120,레어,공격 시 20% 확률로 240의 HP 회복,1,1,Red
무기,120,레어,공격 시 20% 확률로 120의 MP 회복,1,1,Red
무기,120,레어,공격 시 20% 확률로 6레벨 중독효과 적용,1,1,Red
무기,120,레어,공격 시 10% 확률로 2레벨 기절효과 적용,1,1,Red
무기,120,레어,공격 시 20% 확률로 2레벨 슬로우효과 적용,1,1,Red
무기,120,레어,공격 시 20% 확률로 3레벨 암흑효과 적용,1,1,Red
무기,120,레어,공격 시 10% 확률로 2레벨 빙결효과 적용,1,1,Red
무기,120,레어,공격 시 10% 확률로 2레벨 봉인효과 적용,1,1,Red
무기,120,레어,몬스터 방어율 무시 %,15,1,Red
무기,120,에픽,STR %,6,5,Red
무기,120,에픽,DEX %,6,5,Red
무기,120,에픽,INT %,6,5,Red
무기,120,에픽,LUK %,6,5,Red
무기,120,에픽,최대 HP %,6,5,Red
무기,120,에픽,최대 MP %,6,5,Red
무기,120,에픽,공격력 %,6,2,Red
무기,120,에픽,마력 %,6,2,Red
무기,120,에픽,크리티컬 확률 %,8,2,Red
무기,120,에픽,데미지 %,6,2,Red
무기,120,에픽,올스탯 %,3,2,Red
무기,120,에픽,공격 시 20% 확률로 360의 HP 회복,1,2,Red
무기,120,에픽,공격 시 20% 확률로 180의 MP 회복,1,2,Red
무기,120,에픽,몬스터 방어율 무시 %,15,2,Red
무기,120,유니크,STR %,9,5,Red
무기,120,유니크,DEX %,9,5,Red
무기,120,유니크,INT %,9,5,Red
무기,120,유니크,LUK %,9,5,Red
무기,120,유니크,공격력 %,9,3,Red
무기,120,유니크,마력 %,9,3,Red
무기,120,유니크,크리티컬 확률 %,9,4,Red
무기,120,유니크,데미지 %,9,3,Red
무기,120,유니크,올스탯 %,6,4,Red
무기,120,유니크,몬스터 방어율 무시 %,30,3,Red
무기,120,유니크,보스 몬스터 공격 시 데미지 %,20,3,Red
무기,120,유니크,보스 몬스터 공격 시 데미지 %,30,2,Red
무기,120,레전드리,STR %,12,4,Red
무기,120,레전드리,DEX %,12,4,Red
무기,120,레전드리,INT %,12,4,Red
무기,120,레전드리,LUK %,12,4,Red
무기,120,레전드리,공격력 %,12,2,Red
무기,120,레전드리,마력 %,12,2,Red
무기,120,레전드리,크리티컬 확률 %,12,2,Red
무기,120,레전드리,데미지 %,12,2,Red
무기,120,레전드리,올스탯 %,9,3,Red
무기,120,레전드리,캐릭터 기준 10레벨 당 공격력,1,2,Red
무기,120,레전드리,캐릭터 기준 10레벨 당 마력,1,2,Red
무기,120,레전드리,몬스터 방어율 무시 %,35,2,Red
무기,120,레전드리,몬스터 방어율 무시 %,40,2,Red
무기,120,레전드리,보스 몬스터 공격 시 데미지 %,30,2,Red
무기,120,레전드리,보스 몬스터 공격 시 데미지 %,35,2,Red
무기,120,레전드리,보스 몬스터 공격 시 데미지 %,40,2,Red
엠블렘,100,Normal,STR,6,3,Red
엠블렘,100,Normal,DEX,6,3,Red
엠블렘,100,Normal,INT,6,3,Red
엠블렘,100,Normal,LUK,6,3,Red
